,cluster,dist
0,3,2.9023021154729682
1,3,2.1848237838145845
2,2,1.7175381110092358
3,2,2.8808077305985793
4,3,3.048445977623957
5,0,2.7161176194091627
6,3,1.7329043126971966
7,2,3.7664803090172545
8,1,5.612493385461049
9,1,4.648069291723541
10,2,3.7664803090172545
11,1,4.648069291723541
12,1,1.8536583851903488
13,3,2.3876452926165492
14,2,3.0650337996081536
15,3,4.7465364926721305
16,2,3.0650337996081536
17,0,2.122689293671044
18,0,3.296574744724947
19,2,2.354213028239097
20,1,1.9209444094506145
21,3,3.738406911984368
22,3,3.9144087808016055
23,2,3.831443879610694
24,2,1.6152213848331145
25,2,3.1285678849933136
26,3,1.776252663570445
27,2,2.194852566348535
28,3,4.829127362276242
29,3,3.778526471742167
30,0,1.990913804017127
31,3,1.776252663570445
32,0,2.407040872475464
33,3,4.680621410322568
34,3,4.794237956511236
35,3,3.7746111154574478
36,2,3.956332915652285
37,0,5.0688179666405935
38,2,3.6839766395885003
39,3,2.8724647415265596
40,3,2.0368354028831215
41,1,3.203150194858438
42,2,1.845772529999618
43,3,2.252075374227591
44,0,3.5032608324159584
45,2,4.762093457428883
46,3,2.240130952037579
47,2,2.9787448190773254
48,2,2.9824743144756214
49,0,2.6453439244751413
50,3,4.689824865433857
51,2,2.3877043882892806
52,3,2.263135327676579
53,3,5.769857192922939
54,3,3.745576464110316
55,3,3.781782269961415
56,0,3.3307922790567757
57,0,2.6902304414014875
58,3,3.897475269359894
59,1,4.622231242484218
60,0,1.6072725572280748
61,0,4.100194395125206
62,2,4.674439521984243
63,2,4.678812161612872
64,0,1.7091786042137704
65,2,1.5795236783022222
66,0,3.6907309092481606
67,1,4.065207285552819
68,3,2.9016613828531885
69,0,3.786576698431742
70,2,3.8025297176280253
71,0,3.7027913653063402
72,0,1.4763845229033674
73,3,2.239972843934932
74,2,1.5665237474577727
75,2,3.891065621874644
76,3,3.7540297737513146
77,1,4.047659483582567
78,3,3.7995344284072776
79,2,4.661850423553614
80,0,3.193932010914957
81,0,4.108126930347804
82,2,1.5586084589822162
83,0,2.4113678042235116
84,2,1.9815566227269505
85,1,2.4826024949789134
86,2,3.8025297176280253
87,2,2.1706577820160358
88,0,2.4136944777114295
89,2,3.9077710654232236
90,2,2.9824743144756214
91,3,2.2279635393426873
92,3,2.449478905590812
93,1,4.109824540904848
94,2,4.752914704062322
95,0,2.7207389714203956
96,2,4.6661291616037905
97,3,5.723294559857811
98,2,1.9443315201326687
99,0,3.5472530668842404
100,3,4.725129220189929
101,0,2.3675846361842474
102,3,4.730803626913533
103,0,5.153568532652278
104,0,5.153568532652278
105,0,4.6114255185044835
106,2,4.007601679874596
107,2,3.00833783129154
108,2,4.726467635549652
109,0,4.569173708806478
110,3,2.418594962542661
111,3,1.6915869175923965
112,2,3.233756877005479
113,3,3.7747049439190175
114,2,1.695774842266428
115,2,2.2144532421585965
116,0,5.153568532652278
117,3,2.415591150889622
118,3,2.913294581522131
119,0,2.0227467135210904
120,2,2.8249941579448725
121,0,2.577149988758444
122,2,3.756131359713288
123,0,2.6727263616776504
124,1,3.2063283804912373
125,2,4.700097767904223
126,0,3.236281930296805
127,1,2.715060882741941
128,3,2.8151761869992367
129,2,3.7492465476546704
130,2,1.9110705764094713
131,2,3.75469680188271
132,2,3.0771650385898255
133,2,1.7185097635983082
134,0,5.0669508749995416
135,2,2.3453327956091585
136,2,2.2365637271091945
137,3,2.8665711961017863
138,2,3.9511608092440285
139,0,2.6453439244751413
140,0,4.614658742939005
141,3,2.936724237390277
142,2,2.096091012226761
143,3,5.62137985657683
144,2,1.9927827488993755
145,2,4.674796625469585
146,2,4.679168931388356
147,2,3.138544363710299
148,2,2.7914623539665357
149,0,4.103270235254296
150,3,2.289430298499155
151,3,2.956256858284797
152,2,2.3611164243350777
153,3,2.965318097790092
154,2,3.0108086376022647
155,2,2.3904675418269212
156,0,4.126162306041244
157,0,4.130992087637135
158,0,4.614820923905412
159,3,1.7746069181561146
160,1,5.596171167561173
161,2,2.0722261198399115
162,2,2.859021818165208
163,2,4.661850423553614
164,2,2.369761415888242
165,2,1.8462863238896259
166,2,1.8515598587746012
167,3,3.1119453781565696
168,2,2.899474454240514
169,3,4.798686811154083
170,0,4.511965860393005
171,2,2.282852109602378
172,0,2.7872615684923474
173,2,4.710877657424437
174,0,4.472803395390361
175,0,2.006587020048634
176,0,3.6459773446341437
177,0,4.28583956354423
178,1,2.195365574805594
179,2,1.6839656571561794
180,2,3.932498408623753
181,0,1.95304222548999
182,2,4.731898764032737
183,2,2.1620765120430434
184,3,4.673484318436809
185,3,2.1216625869726453
186,0,4.156690440807517
187,3,4.6661275835131155
188,0,2.3675846361842474
189,2,3.8878954755864896
190,2,3.75469680188271
191,2,1.8370160474890767
192,0,2.8958883059416687
193,2,4.641656463216995
194,2,4.031989673727875
195,0,1.711710204442939
196,2,1.6152213848331145
197,2,4.037058226978649
198,2,2.846000862550685
199,0,4.461782058215931
200,1,4.054765445703672
201,1,3.215473566377155
202,2,2.0496756292159324
203,0,4.478488916531578
204,0,3.51599481592066
205,2,3.202100924026633
206,2,3.3032509546080955
207,2,3.1219518481706903
208,2,2.515167161910052
209,2,3.1957083610185677
210,2,2.5098670427201264
211,3,3.918500800105787
212,3,1.655343756703068
213,3,2.12299761155174
214,2,2.092467890624309
215,2,2.227401828690277
216,1,1.8720417873649695
217,1,2.048860589430434
218,0,3.2723230087187627
219,2,2.88601818843891
220,2,3.00833783129154
221,0,4.497309499095546
222,2,2.5063576777007195
223,0,1.9759550919966695
224,2,2.8798593617934007
225,3,1.526618792041322
226,2,4.641656463216995
227,2,3.12032300431748
228,0,4.505314103424326
229,0,2.7775012020490686
230,2,2.0844748559664947
231,0,3.426674431508488
232,1,3.3783683636428163
233,2,2.0515072838847797
234,0,5.077953634008784
235,0,3.5360984486908937
236,3,2.8665711961017863
237,0,1.7091786042137704
238,1,4.139373392308683
239,0,4.543655210729416
240,3,2.082404558939014
241,2,2.4496945223354856
242,2,3.9365579500919634
243,2,4.07497849327156
244,1,1.8064456718124025
245,1,4.202340280099008
246,1,3.1717385118057577
247,2,2.404756363023224
248,2,2.530431251375906
249,1,4.020496402944686
250,2,3.063399461105299
251,2,3.751573227604772
252,0,4.163180129637829
253,2,2.271506248724599
254,1,2.3202969432059213
255,3,5.716266609256262
256,3,1.6769196567264701
257,0,2.842921461941897
258,0,4.492873521292309
259,1,4.095143793257604
260,1,4.095143793257604
261,1,2.9334034192531426
262,2,4.65831709882412
263,0,4.583098746545123
264,2,4.6251490881292625
265,1,2.9334034192531426
266,2,4.046266888343364
267,1,2.351738974844921
268,3,4.804274338593674
269,2,2.959488488288183
270,0,5.081584366081551
271,0,1.912437958952387
272,0,2.45911374167726
273,1,3.0801620858317533
274,0,2.80321178324112
275,0,3.196224240719757
276,2,3.956332915652285
277,3,3.745576464110316
278,0,1.9529327341924185
279,0,4.174042162063594
280,0,1.5779350810627475
281,3,2.8724647415265596
282,3,5.64886125411114
283,2,2.239513368589866
284,2,4.770538854707358
285,0,3.707365205046022
286,2,2.1907867056310484
287,2,2.0268742630600745
288,3,2.292483548631487
289,2,2.282852109602378
290,2,4.77472019551459
291,1,2.4671968400640067
292,3,5.816397200470826
293,0,2.650108870304244
294,2,1.9337855778792103
295,0,1.6848276535463416
296,0,2.707976729493153
297,2,2.1620765120430434
298,2,3.2400743723791297
299,2,1.8252268930266704
300,2,1.8896088444320132
301,0,3.459589990252171
302,3,1.6677070228744615
303,0,4.522238425063687
304,2,4.6374614994766015
305,2,2.873700537931667
306,0,1.9715402512347022
307,3,2.5314630807788108
308,2,4.620725666868215
309,2,3.751573227604772
310,3,4.798686811154083
311,1,2.7935960991746516
312,2,2.206902062523178
313,3,1.6667510854791732
314,2,2.858849303296475
315,2,4.032921110048991
316,1,4.097423832516399
317,3,2.896927782695894
318,2,4.661850423553614
319,0,4.468343089053264
320,3,4.857627700178569
321,3,5.841203342571692
322,2,4.783904694744387
323,2,2.939396234165021
324,3,4.777179612445435
325,2,3.073266525164216
326,1,3.6652176174257787
327,1,4.009602651906505
328,2,3.04579984891311
329,2,2.206902062523178
330,1,1.6898763182726886
331,2,2.239513368589866
332,2,3.0709695167041686
333,0,3.530591203269988
334,0,1.967984949388544
335,0,2.42502984381175
336,2,4.757797357845245
337,2,2.522336995520542
338,3,3.7747049439190175
339,2,3.74076724019931
